duration,stream_timestamp,UTC_timestamp
60,01:19:24,2018-03-02 12:23:35
45,01:23:32,2018-03-02 12:27:43
81,01:45:54,2018-03-02 12:50:05
52,04:23:56,2018-03-02 15:28:07
48,04:42:40,2018-03-02 15:46:51
36,04:47:58,2018-03-02 15:52:09
58,04:51:34,2018-03-02 15:55:45
65,04:54:40,2018-03-02 15:58:51
60,04:58:44,2018-03-02 16:02:55
60,05:05:42,2018-03-02 16:09:53
95,05:12:52,2018-03-02 16:17:03
21,06:14:44,2018-03-02 17:18:55
13,06:31:08,2018-03-02 17:35:19
99,06:34:38,2018-03-02 17:38:49
49,06:37:08,2018-03-02 17:41:19
46,07:12:52,2018-03-02 18:17:03
60,07:16:10,2018-03-02 18:20:21
37,07:46:18,2018-03-02 18:50:29
30,07:47:18,2018-03-02 18:51:29
60,08:22:38,2018-03-02 19:26:49
60,08:40:58,2018-03-02 19:45:09
70,08:48:24,2018-03-02 19:52:35
30,08:54:36,2018-03-02 19:58:47
30,08:55:14,2018-03-02 19:59:25
60,09:29:54,2018-03-02 20:34:05
