duration,stream_timestamp, UTC_timestamp
39,01:28:36,2018-03-04 16:20:11
18,01:31:36,2018-03-04 16:23:11
10,01:35:36,2018-03-04 16:27:11
5,01:45:16,2018-03-04 16:36:51
30,01:47:16,2018-03-04 16:38:51
96,01:47:34,2018-03-04 16:39:09
56,02:13:50,2018-03-04 17:05:25
60,03:45:30,2018-03-04 18:37:05
40,04:00:38,2018-03-04 18:52:13
100,04:12:42,2018-03-04 19:04:17
38,04:42:04,2018-03-04 19:33:39
117,04:47:40,2018-03-04 19:39:15
71,05:21:00,2018-03-04 20:12:35
60,05:24:52,2018-03-04 20:16:27
13,07:07:18,2018-03-04 21:58:53
34,07:35:12,2018-03-04 22:26:47
24,07:43:06,2018-03-04 22:34:41
23,07:49:56,2018-03-04 22:41:31
77,07:51:22,2018-03-04 22:42:57
32,07:53:52,2018-03-04 22:45:27
30,07:57:04,2018-03-04 22:48:39
10,08:00:04,2018-03-04 22:51:39
102,08:02:44,2018-03-04 22:54:19
17,08:11:28,2018-03-04 23:03:03
32,08:15:26,2018-03-04 23:07:01
